model_label,n_episodes,ar_coef,total_features,grouped_auc_mean,random_auc_mean,delta_cv_mean,delta_cv_std,n_eff_mean,event_rate_mean
Boosted Trees,20,0.0,5,0.681,0.84,0.159,0.096,40.222,0.536
Boosted Trees,20,0.0,20,0.52,0.72,0.2,0.1,49.608,0.429
Boosted Trees,20,0.0,100,0.427,0.678,0.252,0.113,49.2,0.494
Boosted Trees,20,0.6,5,0.505,0.795,0.29,0.125,45.724,0.524
Boosted Trees,20,0.6,20,0.587,0.811,0.224,0.18,48.176,0.566
Boosted Trees,20,0.6,100,0.489,0.704,0.214,0.069,37.889,0.498
Boosted Trees,20,0.9,5,0.568,0.811,0.244,0.083,58.04,0.511
Boosted Trees,20,0.9,20,0.569,0.841,0.272,0.078,36.055,0.338
Boosted Trees,20,0.9,100,0.482,0.729,0.246,0.075,48.211,0.464
Boosted Trees,50,0.0,5,0.594,0.782,0.188,0.056,116.789,0.475
Boosted Trees,50,0.0,20,0.62,0.8,0.18,0.09,102.364,0.446
Boosted Trees,50,0.0,100,0.52,0.687,0.168,0.107,130.78,0.437
Boosted Trees,50,0.6,5,0.56,0.832,0.272,0.09,105.604,0.484
Boosted Trees,50,0.6,20,0.606,0.796,0.19,0.046,103.27,0.413
Boosted Trees,50,0.6,100,0.615,0.763,0.148,0.087,105.996,0.377
Boosted Trees,50,0.9,5,0.604,0.867,0.264,0.093,104.43,0.412
Boosted Trees,50,0.9,20,0.569,0.809,0.24,0.077,110.842,0.448
Boosted Trees,50,0.9,100,0.614,0.771,0.157,0.053,103.512,0.502
Boosted Trees,100,0.0,5,0.598,0.832,0.234,0.094,205.818,0.396
Boosted Trees,100,0.0,20,0.62,0.784,0.164,0.048,213.11,0.452
Boosted Trees,100,0.0,100,0.528,0.732,0.203,0.06,217.621,0.426
Boosted Trees,100,0.6,5,0.597,0.868,0.271,0.074,185.751,0.452
Boosted Trees,100,0.6,20,0.598,0.791,0.193,0.066,222.57,0.4
Boosted Trees,100,0.6,100,0.529,0.693,0.164,0.014,222.45,0.398
Boosted Trees,100,0.9,5,0.592,0.854,0.262,0.02,208.097,0.407
Boosted Trees,100,0.9,20,0.578,0.798,0.22,0.066,217.688,0.439
Boosted Trees,100,0.9,100,0.567,0.75,0.182,0.042,202.831,0.497
Logistic Regression,20,0.0,5,0.588,0.638,0.05,0.036,40.823,0.4
Logistic Regression,20,0.0,20,0.479,0.59,0.111,0.122,50.519,0.523
Logistic Regression,20,0.0,100,0.564,0.571,0.006,0.038,54.528,0.4
Logistic Regression,20,0.6,5,0.608,0.656,0.048,0.079,48.569,0.474
Logistic Regression,20,0.6,20,0.636,0.668,0.032,0.02,46.717,0.473
Logistic Regression,20,0.6,100,0.549,0.598,0.049,0.041,42.717,0.455
Logistic Regression,20,0.9,5,0.653,0.715,0.062,0.078,48.965,0.574
Logistic Regression,20,0.9,20,0.626,0.661,0.035,0.058,46.433,0.411
Logistic Regression,20,0.9,100,0.574,0.574,0.001,0.062,48.002,0.404
Logistic Regression,50,0.0,5,0.711,0.703,-0.007,0.016,90.011,0.438
Logistic Regression,50,0.0,20,0.686,0.708,0.022,0.015,88.911,0.416
Logistic Regression,50,0.0,100,0.572,0.565,-0.007,0.015,105.62,0.452
Logistic Regression,50,0.6,5,0.656,0.67,0.014,0.013,114.715,0.434
Logistic Regression,50,0.6,20,0.637,0.646,0.009,0.03,109.067,0.416
Logistic Regression,50,0.6,100,0.558,0.589,0.031,0.042,122.952,0.497
Logistic Regression,50,0.9,5,0.594,0.611,0.018,0.024,114.12,0.414
Logistic Regression,50,0.9,20,0.684,0.715,0.03,0.033,94.17,0.361
Logistic Regression,50,0.9,100,0.599,0.63,0.031,0.01,116.94,0.42
Logistic Regression,100,0.0,5,0.654,0.655,0.0,0.016,208.915,0.436
Logistic Regression,100,0.0,20,0.655,0.655,0.001,0.016,214.452,0.44
Logistic Regression,100,0.0,100,0.634,0.634,0.0,0.004,195.488,0.406
Logistic Regression,100,0.6,5,0.661,0.668,0.007,0.006,197.19,0.468
Logistic Regression,100,0.6,20,0.621,0.634,0.013,0.006,225.388,0.471
Logistic Regression,100,0.6,100,0.632,0.638,0.006,0.007,202.714,0.479
Logistic Regression,100,0.9,5,0.663,0.683,0.02,0.016,197.064,0.421
Logistic Regression,100,0.9,20,0.578,0.602,0.024,0.009,238.284,0.439
Logistic Regression,100,0.9,100,0.656,0.663,0.007,0.019,212.434,0.436
Random Forest,20,0.0,5,0.618,0.818,0.2,0.131,43.851,0.459
Random Forest,20,0.0,20,0.545,0.737,0.192,0.07,38.626,0.478
Random Forest,20,0.0,100,0.552,0.624,0.071,0.035,51.875,0.443
Random Forest,20,0.6,5,0.445,0.737,0.292,0.152,57.677,0.44
Random Forest,20,0.6,20,0.536,0.733,0.197,0.104,44.59,0.46
Random Forest,20,0.6,100,0.569,0.665,0.096,0.099,46.368,0.394
Random Forest,20,0.9,5,0.456,0.871,0.414,0.021,34.875,0.465
Random Forest,20,0.9,20,0.496,0.694,0.198,0.051,57.819,0.505
Random Forest,20,0.9,100,0.594,0.77,0.176,0.062,36.071,0.321
Random Forest,50,0.0,5,0.574,0.801,0.227,0.032,95.774,0.413
Random Forest,50,0.0,20,0.574,0.692,0.117,0.05,124.846,0.468
Random Forest,50,0.0,100,0.518,0.62,0.102,0.048,102.688,0.448
Random Forest,50,0.6,5,0.536,0.795,0.259,0.064,106.249,0.496
Random Forest,50,0.6,20,0.549,0.693,0.144,0.08,108.259,0.5
Random Forest,50,0.6,100,0.561,0.665,0.104,0.049,104.481,0.484
Random Forest,50,0.9,5,0.572,0.849,0.277,0.008,101.746,0.441
Random Forest,50,0.9,20,0.642,0.783,0.141,0.052,97.609,0.471
Random Forest,50,0.9,100,0.649,0.726,0.077,0.067,106.997,0.48
Random Forest,100,0.0,5,0.609,0.755,0.146,0.079,213.352,0.466
Random Forest,100,0.0,20,0.565,0.695,0.13,0.035,183.696,0.421
Random Forest,100,0.0,100,0.653,0.697,0.044,0.007,199.121,0.458
Random Forest,100,0.6,5,0.626,0.807,0.181,0.019,202.098,0.416
Random Forest,100,0.6,20,0.67,0.757,0.086,0.032,182.567,0.46
Random Forest,100,0.6,100,0.66,0.703,0.043,0.008,199.454,0.41
Random Forest,100,0.9,5,0.628,0.831,0.203,0.012,216.267,0.473
Random Forest,100,0.9,20,0.57,0.689,0.119,0.007,196.323,0.45
Random Forest,100,0.9,100,0.61,0.672,0.061,0.003,216.218,0.437
